Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link
R_RT1210FRE077R5L,R,7500 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE077R5L,RES SMD 7500 mΩ 1% 1210 200V,Yageo,RT1210FRE077R5L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE077R5L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0710RL,R,10000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0710RL,RES SMD 10000 mΩ 1% 1210 200V,Yageo,RT1210FRE0710RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0710RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0715RL,R,15000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0715RL,RES SMD 15000 mΩ 1% 1210 200V,Yageo,RT1210FRE0715RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0715RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0720RL,R,20000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0720RL,RES SMD 20000 mΩ 1% 1210 200V,Yageo,RT1210FRE0720RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0720RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0724R9L,R,24900 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0724R9L,RES SMD 24900 mΩ 1% 1210 200V,Yageo,RT1210FRE0724R9L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0724R9L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0727RL,R,27000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0727RL,RES SMD 27000 mΩ 1% 1210 200V,Yageo,RT1210FRE0727RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0727RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0733R2L,R,33200 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0733R2L,RES SMD 33200 mΩ 1% 1210 200V,Yageo,RT1210FRE0733R2L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0733R2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0742RL,R,42000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0742RL,RES SMD 42000 mΩ 1% 1210 200V,Yageo,RT1210FRE0742RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0742RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0754RL,R,54000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0754RL,RES SMD 54000 mΩ 1% 1210 200V,Yageo,RT1210FRE0754RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0754RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0773R2L,R,73200 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0773R2L,RES SMD 73200 mΩ 1% 1210 200V,Yageo,RT1210FRE0773R2L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0773R2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07100RL,R,100000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07100RL,RES SMD 100000 mΩ 1% 1210 200V,Yageo,RT1210FRE07100RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07100RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07105RL,R,105000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07105RL,RES SMD 105000 mΩ 1% 1210 200V,Yageo,RT1210FRE07105RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07105RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07110RL,R,110000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07110RL,RES SMD 110000 mΩ 1% 1210 200V,Yageo,RT1210FRE07110RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07110RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07137RL,R,137000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07137RL,RES SMD 137000 mΩ 1% 1210 200V,Yageo,RT1210FRE07137RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07137RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07150RL,R,150000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07150RL,RES SMD 150000 mΩ 1% 1210 200V,Yageo,RT1210FRE07150RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07150RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07158RL,R,158000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07158RL,RES SMD 158000 mΩ 1% 1210 200V,Yageo,RT1210FRE07158RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07158RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07220RL,R,220000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07220RL,RES SMD 220000 mΩ 1% 1210 200V,Yageo,RT1210FRE07220RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07220RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07240RL,R,240000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07240RL,RES SMD 240000 mΩ 1% 1210 200V,Yageo,RT1210FRE07240RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07240RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07330RL,R,330000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07330RL,RES SMD 330000 mΩ 1% 1210 200V,Yageo,RT1210FRE07330RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07330RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07470RL,R,470000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07470RL,RES SMD 470000 mΩ 1% 1210 200V,Yageo,RT1210FRE07470RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07470RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07511RL,R,511000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07511RL,RES SMD 511000 mΩ 1% 1210 200V,Yageo,RT1210FRE07511RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07511RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07909RL,R,909000 mΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07909RL,RES SMD 909000 mΩ 1% 1210 200V,Yageo,RT1210FRE07909RL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07909RL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE071KL,R,1 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE071KL,RES SMD 1 kΩ 1% 1210 200V,Yageo,RT1210FRE071KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE071KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE071K07L,R,1.07 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE071K07L,RES SMD 1.07 kΩ 1% 1210 200V,Yageo,RT1210FRE071K07L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE071K07L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE071K47L,R,1.47 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE071K47L,RES SMD 1.47 kΩ 1% 1210 200V,Yageo,RT1210FRE071K47L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE071K47L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE071K5L,R,1.5 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE071K5L,RES SMD 1.5 kΩ 1% 1210 200V,Yageo,RT1210FRE071K5L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE071K5L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE072K49L,R,2.49 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE072K49L,RES SMD 2.49 kΩ 1% 1210 200V,Yageo,RT1210FRE072K49L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE072K49L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE073K3L,R,3.3 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE073K3L,RES SMD 3.3 kΩ 1% 1210 200V,Yageo,RT1210FRE073K3L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE073K3L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE073K6L,R,3.6 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE073K6L,RES SMD 3.6 kΩ 1% 1210 200V,Yageo,RT1210FRE073K6L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE073K6L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE073K65L,R,3.65 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE073K65L,RES SMD 3.65 kΩ 1% 1210 200V,Yageo,RT1210FRE073K65L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE073K65L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE073K9L,R,3.9 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE073K9L,RES SMD 3.9 kΩ 1% 1210 200V,Yageo,RT1210FRE073K9L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE073K9L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE074K7L,R,4.7 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE074K7L,RES SMD 4.7 kΩ 1% 1210 200V,Yageo,RT1210FRE074K7L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE074K7L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE074K99L,R,4.99 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE074K99L,RES SMD 4.99 kΩ 1% 1210 200V,Yageo,RT1210FRE074K99L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE074K99L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE076K65L,R,6.65 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE076K65L,RES SMD 6.65 kΩ 1% 1210 200V,Yageo,RT1210FRE076K65L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE076K65L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE076K8L,R,6.8 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE076K8L,RES SMD 6.8 kΩ 1% 1210 200V,Yageo,RT1210FRE076K8L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE076K8L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0710KL,R,10 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0710KL,RES SMD 10 kΩ 1% 1210 200V,Yageo,RT1210FRE0710KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0710KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0715K8L,R,15.8 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0715K8L,RES SMD 15.8 kΩ 1% 1210 200V,Yageo,RT1210FRE0715K8L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0715K8L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0720K5L,R,20.5 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0720K5L,RES SMD 20.5 kΩ 1% 1210 200V,Yageo,RT1210FRE0720K5L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0720K5L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0722K1L,R,22.1 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0722K1L,RES SMD 22.1 kΩ 1% 1210 200V,Yageo,RT1210FRE0722K1L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0722K1L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0730K1L,R,30.1 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0730K1L,RES SMD 30.1 kΩ 1% 1210 200V,Yageo,RT1210FRE0730K1L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0730K1L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0733KL,R,33 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0733KL,RES SMD 33 kΩ 1% 1210 200V,Yageo,RT1210FRE0733KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0733KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0736KL,R,36 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0736KL,RES SMD 36 kΩ 1% 1210 200V,Yageo,RT1210FRE0736KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0736KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0739K2L,R,39.2 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0739K2L,RES SMD 39.2 kΩ 1% 1210 200V,Yageo,RT1210FRE0739K2L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0739K2L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0752K3L,R,52.3 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0752K3L,RES SMD 52.3 kΩ 1% 1210 200V,Yageo,RT1210FRE0752K3L,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0752K3L,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE0768KL,R,68 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE0768KL,RES SMD 68 kΩ 1% 1210 200V,Yageo,RT1210FRE0768KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE0768KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07120KL,R,120 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07120KL,RES SMD 120 kΩ 1% 1210 200V,Yageo,RT1210FRE07120KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07120KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07130KL,R,130 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07130KL,RES SMD 130 kΩ 1% 1210 200V,Yageo,RT1210FRE07130KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07130KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07150KL,R,150 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07150KL,RES SMD 150 kΩ 1% 1210 200V,Yageo,RT1210FRE07150KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07150KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07180KL,R,180 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07180KL,RES SMD 180 kΩ 1% 1210 200V,Yageo,RT1210FRE07180KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07180KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07200KL,R,200 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07200KL,RES SMD 200 kΩ 1% 1210 200V,Yageo,RT1210FRE07200KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07200KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07220KL,R,220 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07220KL,RES SMD 220 kΩ 1% 1210 200V,Yageo,RT1210FRE07220KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07220KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
R_RT1210FRE07301KL,R,301 kΩ,resistor_footprints:R_1210_3225Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1210FRE07301KL,RES SMD 301 kΩ 1% 1210 200V,Yageo,RT1210FRE07301KL,1%,50 ppm/°C,200V,1210,3225,RT1210FRE07,https://www.trustedparts.com/en/search/RT1210FRE07301KL,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_1210.step
