Part Number,Inductance (uH),"IRP,40K (A)",RDC Max (mOhm)
744373210010,0.1,14.1,5.5
744373210022,0.22,11.4,8
744373210047,0.47,6.9,20
74437321010,1,4.5,47
74437321015,1.5,3.9,63.3
74437321022,2.2,3.5,80
74437321033,3.3,3.15,97
74437321047,4.7,2.55,145
74437321056,5.6,2.15,208
74437321068,6.8,1.65,360
74437321082,8.2,1.6,376
74437321100,10,1.4,463
744373240010,0.1,16.5,4
744373240022,0.22,11.4,7.3
744373240033,0.33,10.5,8.6
744373240047,0.47,8.7,14
744373240056,0.56,7.9,16
744373240068,0.68,7.3,19
74437324010,1,6.2,27
74437324012,1.2,5.85,30
74437324015,1.5,4.9,42
74437324022,2.2,4.05,61
74437324033,3.3,3.5,76
74437324047,4.7,2.95,105
74437324056,5.6,2.6,125
74437324068,6.8,2.35,172
74437324082,8.2,2.3,180
74437324100,10,1.95,243
74437324150,15,1.6,374
74437324220,22,1.3,500
7443732448010,1,6.7,27
7443732448015,1.5,6,46
7443732448022,2.2,5.1,61
7443732448033,3.3,4.3,71
7443732448047,4.7,3.3,115
7443732448068,6.8,2.7,228
7443732448100,10,2.4,243
744373340033,0.33,12.4,7.3
744373340047,0.47,11.5,8.6
744373340068,0.68,9.4,12.4
74437334010,1,7.4,20
74437334012,1.2,6.4,28
74437334015,1.5,6,30.5
74437334022,2.2,4.75,50
74437334033,3.3,3.75,76
74437334047,4.7,3,116
74437334056,5.6,2.85,122
74437334068,6.8,2.65,150
74437334082,8.2,2.5,171
74437334100,10,2.25,199
7443733448010,1,9.5,17.5
7443733448015,1.5,5.7,43
7443733448022,2.2,6,38
7443733448033,3.3,4.9,60
7443733448047,4.7,3.6,88
7443733448068,6.8,3.5,159
7443733448100,10,2.6,230
744373360033,0.33,15.1,5
744373360047,0.47,12.3,7.4
744373360068,0.68,9.8,12
74437336010,1,8.6,14
74437336012,1.2,8.3,16
74437336015,1.5,7.8,25
74437336022,2.2,6.2,35
74437336033,3.3,5.45,38
74437336047,4.7,4.35,53
74437336056,5.6,4.15,63
74437336068,6.8,3.75,76.2
74437336100,10,2.9,128
744373460022,0.22,23,2.8
744373460033,0.33,17.8,3.9
744373460047,0.47,16.6,4.2
744373460068,0.68,15.1,5.5
744373460082,0.82,12.7,8
74437346010,1,11.4,10
74437346015,1.5,9.1,15
74437346018,1.8,8.8,17
74437346022,2.2,7.7,20
74437346025,2.5,7.3,22
74437346033,3.3,6.2,30
74437346047,4.7,5.35,40
74437346056,5.6,5,48
74437346068,6.8,4.45,60
74437346082,8.2,4.1,68
74437346100,10,3.75,85
74437346150,15,3.15,123
74437346220,22,2.5,190
7443734648010,1,13.5,7.4
7443734648015,1.5,11.8,12.1
7443734648022,2.2,9.7,17
7443734648033,3.3,7.6,22
7443734648047,4.7,6.1,40
7443734648068,6.8,5.2,48
7443734648100,10,4.3,78
744373490047,0.47,17.8,3.9
744373490056,0.56,17.6,4.2
744373490068,0.68,16.7,4.5
744373490082,0.82,15.5,4.9
74437349010,1,13.4,6.5
74437349012,1.2,12.4,7.5
74437349015,1.5,11.3,9
74437349022,2.2,9.9,12
74437349033,3.3,7.5,20.9
74437349047,4.7,6.2,30.8
74437349056,5.6,4.9,49
74437349068,6.8,4.8,51.5
74437349082,8.2,4.35,63
74437349100,10,4.05,69
74437349150,15,3.6,92
74437349220,22,2.75,170
74437349330,33,2.45,200
74437349470,47,1.9,330
7443734948010,1,18,6.5
7443734948015,1.5,15.8,8.5
7443734948022,2.2,12.3,14
7443734948033,3.3,10.6,23
7443734948047,4.7,8.5,31
7443734948068,6.8,7.5,34
7443734948100,10,6.6,50
74437349560,56,1.75,396
74437349680,68,1.65,445
744373560022,0.22,29.5,1.61
744373560033,0.33,24.8,2.57
744373560047,0.47,23.2,3.33
744373560068,0.68,18.5,3.99
744373560082,0.82,17.3,4.87
74437356010,1,15.7,8.35
74437356015,1.5,12.2,13.3
74437356022,2.2,9.5,20.3
74437356033,3.3,8,27.4
74437356047,4.7,6.7,34.2
74437356068,6.8,5.8,49.3
74437356082,8.2,4.6,59.3
74437356100,10,4.45,71.2
744373580022,0.22,38.5,1.35
744373580033,0.33,29.7,2.15
744373580047,0.47,27.6,2.38
744373580068,0.68,21.5,3.22
744373580082,0.82,20.7,3.88
74437358010,1,18.6,4.63
74437358022,2.2,12,9.41
74437358033,3.3,10,14.9
74437358047,4.7,7.9,22.6
74437358068,6.8,6.4,33.4
74437358082,8.2,5.45,45
74437358100,10,5.05,51.8
744373680022,0.22,41.4,1
744373680036,0.36,36.2,1.2
744373680039,0.39,35.3,1.3
744373680045,0.45,32.6,1.5
744373680056,0.56,29.3,1.8
744373680068,0.68,23.8,2.7
74437368010,1,21.3,3.3
74437368022,2.2,14.3,7
74437368033,3.3,11.1,11.8
74437368039,3.9,10.3,14.5
74437368047,4.7,9.4,15.5
74437368056,5.6,8.7,19.3
74437368068,6.8,8.6,23.3
74437368100,10,7,30
74437368150,15,5.7,45
74437368220,22,4.5,74
74437368330,33,3.75,112
74437368470,47,2.95,167
744373770022,0.22,45,0.9
744373770033,0.33,41.6,1.05
744373770047,0.47,33.8,1.6
744373770056,0.56,32.9,1.7
744373770068,0.68,28.8,2.2
74437377010,1,23.5,3.5
74437377015,1.5,17.8,5.5
74437377022,2.2,14.3,8
74437377033,3.3,12.8,11
74437377047,4.7,10.6,15
7443739650022,0.22,54.9,0.6
7443739650033,0.33,49,0.8
7443739650047,0.47,40.7,1.2
7443739650056,0.56,37.1,1.2
7443739650068,0.68,35.6,1.5
744373965010,1,28.2,2.3
744373965015,1.5,25.7,3
744373965022,2.2,21.6,4.2
744373965033,3.3,16.2,6.8
744373965047,4.7,15.1,8.4
744373965056,5.6,13.3,10
744373965068,6.8,12.7,11.6
744373965100,10,11.8,16.5
744373965101,100,3.2,165
744373965120,12,9.1,20
744373965150,15,7.7,28
744373965220,22,6.5,37
744373965330,33,5.45,58
744373965470,47,4.4,90
